Designator,Mid X,Mid Y,Rotation,Layer
_6,-18.5,21.13,0.0,top
_5,-18.49,4.31,0.0,top
_4,-23.46,21.13,0.0,top
_3,-20.98,21.13,0.0,top
_2,-23.62,4.31,0.0,top
,-21.055,4.31,0.0,top
BT1,0.53,-5.14,0.0,bottom
C1,7.05,34.67,0.0,top
C2,15.89,23.86,0.0,top
C4,3.56,0.875,270.0,top
C5,6.05,0.91,270.0,top
C6,8.54,10.83375,90.0,top
C7,3.87,8.49375,90.0,top
C8,6.1,-7.575,270.0,top
C9,11.36,-4.535,270.0,top
D1,-20.98,10.8283,180.0,top
IC1,13.348,29.455,180.0,top
IC2,15.665,20.435,0.0,top
IC3,2.9125,23.1875,270.0,top
IC4,8.74,-8.345,270.0,top
IC5,-16.72,35.4,90.0,top
J1,17.08,42.43,270.0,top
J2,-10.98,45.38,0.0,top
J3,-20.35,45.37,0.0,top
J4,23.00986,-16.5381,0.0,top
J5,23.114,7.86114,0.0,top
LED1,11.19,45.74,90.0,bottom
LED2,9.43,45.75,90.0,bottom
Q1,-10.495,-4.2275,270.0,top
Q2,-19.295,-8.76,270.0,top
Q3,-10.495,-20.3675,270.0,top
Q4,-19.295,-24.61,270.0,top
R1,11.15,42.62,270.0,bottom
R10,0.2875,23.8,270.0,top
R11,23.2,21.62,90.0,top
R12,23.64,26.65,90.0,top
R13,3.665,14.63375,90.0,top
R14,2.125,14.63375,90.0,top
R15,0.575,14.63375,90.0,top
R16,-1.025,14.63375,90.0,top
R17,-2.615,14.63375,90.0,top
R18,-4.215,14.63375,270.0,top
R19,-5.835,14.63375,270.0,top
R2,9.46,42.63,270.0,bottom
R20,-7.485,14.63375,270.0,top
R21,7.79,-4.565,270.0,top
R22,4.49,-7.565,270.0,top
R23,11.38,-7.625,90.0,top
R24,-6.795,-5.165,180.0,top
R25,9.67,-4.535,90.0,top
R26,6.87,-11.685,180.0,top
R27,-6.795,-3.295,0.0,top
R28,1.775,-16.735,180.0,top
R29,-6.795,-19.425,0.0,top
R3,18.685,20.395,270.0,top
R30,-17.88,29.68,90.0,top
R31,-16.34,29.68,90.0,top
R32,-14.805,29.69,90.0,top
R33,-21.335,35.07,0.0,top
R34,-21.33,33.52,0.0,top
R35,-21.31,31.99,0.0,top
R36,-21.34,36.63,0.0,top
R37,-12.265,38.89,180.0,top
R38,-12.26,37.25,0.0,top
R39,-2.48,2.78,270.0,top
R4,-9.445,-10.195,180.0,top
R40,-6.795,-21.305,180.0,top
R41,-9.445,-26.115,180.0,top
R5,4.1875,29.76,180.0,top
R6,-9.28,4.91,0.0,top
R7,-9.26,3.39,0.0,top
R8,-5.62,2.765,270.0,top
R9,-4.03,2.785,270.0,top
RV1,17.98828,7.7851,90.0,top
Rprog1,18.76,28.0,270.0,top
SW1,6.22,11.29375,90.0,top
U1,-0.75,7.83375,270.0,top
U2,0.5,44.7822,90.0,bottom
U3,-8.84,9.43875,270.0,top
Y1,4.8,3.74,0.0,top
